ID;Nationality;Age;DaysSinceCreation;NameHash;DocIDHash;AverageLeadTime;LodgingRevenue;OtherRevenue;BookingsCanceled;BookingsNoShowed;BookingsCheckedIn;PersonsNights;RoomNights;DaysSinceLastStay;DaysSinceFirstStay;DistributionChannel;MarketSegment;SRHighFloor;SRLowFloor;SRAccessibleRoom;SRMediumFloor;SRBathtub;SRShower;SRCrib;SRKingSizeBed;SRTwinBed;SRNearElevator;SRAwayFromElevator;SRNoAlcoholInMiniBar;SRQuietRoom;PurchaseDate;PaymentMethod
13;FRA;56;1095;0x58A3F88CAD27FB414123EF8C7A04C72331462E559ADB67992A01099591D63FDB;0x30BA9C1F258C39083C05F3BCBF0265E29DE578737E47C23437AFFBA518E67D9A;0;0;0;0;0;0;0;0;-1;-1;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;28/02/2018;4
14;ESP;42;1095;0x3C34C1FBF79466EBBC6F9881C7BC13F6BC997498E92594C5131A0DB9CFFD38A4;0x4FEADA25B090169D22CCE3A5ADFF956882316CACEFB29917D30874FEFA11D700;87;327,7;48;0;0;1;8;4;1099;1099;Direct;Direct;0;0;0;0;0;0;0;0;0;0;0;0;0;27/01/2018;3
15;ESP;57;1095;0x5EC9E6EC77BCC5A550B7F67C21AEB9DD3F6AD5FB19EDE0FEE08C8F2A01D94309;0x9718E40D68CD1F2E574F9903932ECAB2404E2C57E3C5F346DBE83EF109F408DB;0;0;0;0;0;0;0;0;-1;-1;Direct;Direct;0;0;0;0;0;0;0;0;0;0;0;0;0;01/04/2018;2
16;FRA;68;1095;0x4B923E5254103C807392248E01F962767674B575B2D41479A445DD0780FA8407;0x2DDE5086CA0134DEB2606F0BFDA0958B102F7CC6F9C74B30BB3420526ED39029;11;437;36;0;0;1;6;3;1098;1098;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;20/05/2018;2
17;FRA;72;1095;0xFC5C271D266C0B100D0B451A22D71B57576F50EC68D0D9B07259179E620FD1E4;0x197C35F3140B7BE139E34CCEA38427282735E34F40E5C2A7C1A085BBEC2A9E93;11;455;18;0;0;1;3;3;1098;1098;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;17/02/2018;4
18;FRA;71;1095;0xAF918A41B6C8CE4B4E44EC163BAF9DBCFD7923D7911CA6FDF3EB74B3CE31BCE9;0x4FE0DB3A86E5B02CC5CB2152247AAF5B5F4E472ACEC6C62C48C185AC0873ED66;0;0;0;0;0;0;0;0;-1;-1;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;29/04/2018;2
19;FRA;24;1095;0xB4C7C37787665CC1D66C6AD00A6F1C12EA34267D1B92A420FA6F3966329BC10B;0xA7F7AC835BDCBD59DCFF998AC05382F8ADEBE8DA3052EACDA251A2082CB60990;109;174;36;0;0;1;8;4;1099;1099;Travel Agent/Operator;Travel Agent/Operator;1;0;0;0;0;0;0;1;0;0;0;0;0;20/02/2018;4
20;FRA;26;1095;0xB87D95FF5B487918D70691A2CF66041989A0308D19AFFA9849AF720A84D5D1CE;0xBD8DE9129AAB97D820CB879EE4AA30530E016748E910B4884898184C91601D1F;0;0;0;0;0;0;0;0;-1;-1;Travel Agent/Operator;Travel Agent/Operator;1;0;0;0;0;0;0;1;0;0;0;0;0;25/01/2018;4
21;PRT;NULL;1095;0x340EA8318381B680D1CC3CCE171998F73C64DBB12607EF9CAF6D48C686D2FD42;0x9AB6981145BCCB9F69F8C89559143573A5F0509AA654C9A4E8E9FD7FD69AF582;63;224;156;0;0;1;4;2;1097;1097;Travel Agent/Operator;Other;0;0;0;0;0;0;0;1;0;0;0;0;0;06/03/2018;2
22;BEL;50;1095;0xCE0591793C71ECFAB4F962ABB46978C662452E278EBCC0DACAA4220D42AC4934;0xDC8CBB010093575B89816E11EB5BBFCC7E5F87ABE8498CE6DDE85CCE919EA10C;2;348,12;66;0;0;1;8;4;1099;1099;Direct;Direct;0;0;0;0;0;0;0;0;0;0;0;0;0;13/01/2018;4
23;NLD;52;1095;0xE6589E4E146DCEB0B48B17FB1D9B9522A0CDD0AF1FFC3E72DD5B938EBC9A1CFE;0x9D1D531BE3F01DFF86B579DD7C9C0000D9030319F2DB752E16254DC158A6EB6B;0;0;0;0;0;0;0;0;-1;-1;Direct;Direct;0;0;0;0;0;0;0;0;0;0;0;0;0;03/05/2018;4
24;FRA;32;1095;0x8D7167D4B0134F79CEFEE6A963984DF98E96D603E8400000E918DB45E9B67FE4;0x2A9BD5F3B80DFFA0BBF997334FA322B68F593F0EE3E811B36C716EE05EFA9501;95;144;93;0;0;1;6;3;1098;1098;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;04/03/2018;1
25;FRA;36;1095;0x55286F76B2B0EA1590F1C220B6A83C0D36DAE028944B48149F6F17A256C31926;0xF21C5A6FA7F3A059827C3E924C343B3B3F16199D07FE8BF8B7BB4E5C7364F6F7;0;0;0;0;0;0;0;0;-1;-1;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;12/03/2018;1
26;AUT;64;1095;0xA0E5A29C51E8FD72C00456D593DC4FA1B077DF567FB18EC72D5F560B09417468;0xA9FEAA0B52742CB1CD73BF456F562DAD60AB677881718016D091E1392704AB8B;7;177;21,5;0;0;1;3;3;1098;1098;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;14/03/2018;2
27;FRA;64;1095;0x00B1F7814E66FD1490875582DD6EDACF5006E60871F8654F11E093AA2D288941;0x3FF76ED56C3A1AD0D7A4456259EC19ED374616A8F2557C13EFD6546CA856C90A;94;240;104,5;0;0;1;10;5;1100;1100;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;25/02/2018;3
28;FRA;65;1095;0x817034C5298D186BE15E57E684B2CEA2C0A3086E099EE86BC76B22D4C6BC256D;0x14C354CBAD53E4D7583703B28C2F20CD7F1F8475B386DAC8CDB832D5BBF7FD97;0;0;0;0;0;0;0;0;-1;-1;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;04/02/2018;4
29;AUT;47;1095;0x307755B4A5EC88E8E9A40819191320FA29BEDEEA7800D6109CBE99B210333E50;0xBD1AFB1FF7BCAE362408DBEF1598BD02338C6C27061BCBFA4AF91C6314E5526B;7;177;20,5;0;0;1;3;3;1098;1098;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;07/02/2018;4
30;AUT;67;1095;0xED5AE6AEF03A588E3A68528E753024B47D5F4E2A4FE5364D99C8E436DE13AD89;0xD2AAFFCC6CECE458F3C5E7ACA3506A95195005E96D95ED53A540F9C2042AA4DC;7;177;18;0;0;1;3;3;1098;1098;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;10/01/2018;3
31;PRT;39;1095;0xC24A218407111A34D6B511DC4352DB901B4F8F488C8C6A6AE7DEC75BEEB323F0;0x3333A7C8D1C059E0FA19CC75EE1E445546E3627478389734C8EE878779B276D7;1;1083,5;255,49;0;0;9;18;14;591;1117;Direct;Corporate;0;0;0;0;0;0;0;1;0;0;0;0;0;21/03/2018;1
32;PRT;71;1095;0xAB7AC547231833569C05758686EA1F31A57136BA9241ED9D47A3FCD7B926E1FB;0x4FC217F50D72BEF965A1AB5EF68F6A20EC8B6E524021D45A7B727F1832CC39B5;85;180,6;54;0;0;1;6;3;1098;1098;Direct;Direct;0;0;0;0;0;0;0;0;0;0;0;0;0;26/01/2018;3
33;PRT;41;1095;0x3C9CF68D50FED7CD332CE483EDB9C594E8ECC82763A55FA9C76A4953CEF442EE;0x23193A7BE94A4FD89517F55DDB4FE75B6D59F27BCB6F2DB2F043DB04B0C4849F;0;0;0;0;0;0;0;0;-1;-1;Direct;Direct;0;0;0;0;0;0;0;0;0;0;0;0;0;19/03/2018;4
34;PRT;43;1095;0x1BDE2BD375189D4BD0AEADE4AC20F08B7A8671A73D4F4027BA49DDEF76EE5725;0x90B616FB4FF85B2B8F4992DEEC1490EEF0846A5611EA623199E060E721687E19;78;180,6;100,5;0;0;1;6;3;1098;1098;Direct;Direct;0;0;0;0;0;0;1;0;0;0;0;0;0;02/03/2018;4
35;PRT;3;1095;0x11DFD4644A50FAB1514696B6756D327D943E029BAB84BA1DF3FECE50FAC46E92;0xA2454B19BC40F4CD058267AA604BF78FE57AC373AD7B98FF59D9D14C15AD819A;0;0;0;0;0;0;0;0;-1;-1;Direct;Direct;0;0;0;0;0;0;1;0;0;0;0;0;0;25/05/2018;3
36;PRT;63;1095;0x976A47F61434CAD5F6C6E475AB0D9A272F79D3865C8B753BE0F664708E202B8C;0x53428199C7A936498730B0ABCE5B22097EE16E3B866BF385B4A7866104227CA6;0;0;0;0;0;0;0;0;-1;-1;Direct;Direct;0;0;0;0;0;0;1;0;0;0;0;0;0;24/04/2018;3
37;DEU;30;1095;0x6B6DB754763C0FFC78D296B34FB4C902960EE63B4B6F1CEAD4B548771758723A;0x379A4CC632C610AC2995C37CE918A551ADF6E50BFB4DC1DB785A90F869ACC5C9;13;210;73;0;0;1;8;4;1099;1099;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;10/04/2018;2
38;DEU;28;1095;0x2A77BF180275768BD4827B65D7CFA31F9660B8F3DC006157F123F6877FA0E0D0;0xC93A82508AEE069699652ADB9A6AA504ED4E532197AB6EDB12D0AD347A0DF286;0;0;0;0;0;0;0;0;-1;-1;Travel Agent/Operator;Travel Agent/Operator;0;0;0;0;0;0;0;0;0;0;0;0;0;18/03/2018;3
39;PRT;NULL;1095;0xE515BD10FF3685857D83471A2B6D909E2AC808BA9F51329C33AA82BFB76D138D;0x5FA1E0098A31497057C5A6B9FE9D49FD6DD47CCE7C268E6548699E78E587AAEA;0;0;0;0;0;1;1;1;1096;1096;Direct;Complementary;0;0;0;0;0;0;0;0;0;0;0;0;0;12/04/2018;1
40;PRT;NULL;1095;0x92DFD23386EF6E6A50D04DDEEC39F189FA1EC249C4AF7C0F39043598A984A542;0x5FA1E0098A31497057C5A6B9FE9D49FD6DD47CCE7C268E6548699E78E587AAEA;0;0;0;0;0;1;1;1;1096;1096;Direct;Complementary;0;0;0;0;0;0;0;0;0;0;0;0;0;12/03/2018;1
41;ITA;52;1095;0xD4B91A58CA271E8A88936FFA4ACEED074D303591A83EEDE1AC7C03BB7A178D34;0xF813D88CA6A5886BF907317E29B6B7C3367D5CC1A8C8A168B53C12F09B71334F;87;563,1;90;0;0;1;6;3;1098;1098;Travel Agent/Operator;Other;0;0;0;0;0;0;0;0;0;0;0;0;0;23/05/2018;3
42;ITA;18;1095;0xD60E330244F2B1F063CA4059EAD0918154B3FD769F0095CD91C7A618A7ED488B;0x6688913F9D46973AE04E4449B6B37E01C0790BC9FB0EBF0285BEC5A3CD154B1F;0;0;0;0;0;0;0;0;-1;-1;Travel Agent/Operator;Other;0;0;0;0;0;0;0;0;0;0;0;0;0;13/03/2018;2
43;FRA;53;1095;0xAFAF3A868730E8993FB17CFC59EF2C0568DE1DF40D09CA829ABDCB074EB9CF3F;0x94AD042A1F7686C74ACAECBF03C5B800A08707D188074E35A7D5F90E52987E5B;67;455,7;86,5;0;0;1;10;5;1100;1100;Travel Agent/Operator;Other;0;0;0;0;0;0;0;1;0;0;0;0;0;20/03/2018;1
44;FRA;52;1095;0x024ADE43A270229E070AA235E41CC97C5ED5B4CF07AE0207F622180E5E8EF8F3;0x104DEBEF27AD6E7C89B5189DDA00EFC5E9500E6A40690995E7BD08B9E6057774;0;0;0;0;0;0;0;0;-1;-1;Travel Agent/Operator;Other;0;0;0;0;0;0;0;1;0;0;0;0;0;27/05/2018;4
45;ITA;48;1095;0x2906F4926D3195A6F5F5037724733A9F7F1E1106D90AE2BBC9014EFB3D9F21BA;0xFBCD7E77E78E857965AACBD4BBACFE9BC664062365FF6339E41C0D436911F7D8;87;251,1;40,5;0;0;1;6;3;1098;1098;Travel Agent/Operator;Other;0;0;0;0;0;0;0;0;0;0;0;0;0;12/04/2018;2
46;ITA;17;1095;0x5E773BC636BBEE976BB94D7B10D6A7F24B1AF32C1430C15674CDB74BE30BCECF;0x058AE7414076D493DBE9B75976AF4A8A80B71440CD819E0A8303573C5CBBEB55;0;0;0;0;0;0;0;0;-1;-1;Travel Agent/Operator;Other;0;0;0;0;0;0;0;0;0;0;0;0;0;05/05/2018;2
47;CHN;25;1095;0x6AFC7CD5E81F4A0FCD2F602237E52D0FAFD57C07CEE2EEFCC82796416EE54444;0x3B973333D057F1B58C29B8C4A35D67475E61C57FC403469B723E2B1D90009B31;65;202,8;24;0;0;1;4;2;1097;1097;Travel Agent/Operator;Other;0;0;0;0;0;0;0;1;0;0;0;0;0;25/05/2018;4
48;CHN;26;1095;0x09825D1FA0D5D053B9A834E96B30EA8B710437E97EB661BC85019907287A397A;0x6CE044960D36926DE8F6BDC8D969610A94E517650B051FE213F48C12CD83200E;0;0;0;0;0;0;0;0;-1;-1;Travel Agent/Operator;Other;0;0;0;0;0;0;0;1;0;0;0;0;0;08/05/2018;1
49;RUS;43;1095;0x99625638CE36D850C45F87DAA542A3E24A0C86481C384A2928311BBF8948D53C;0xA23EEFF63590CA4F259AA22BF1BE1AEA74E22717BDFA177102A0AC7CCE5A79C5;80;101,4;21;0;0;1;2;1;1096;1096;Travel Agent/Operator;Other;0;0;0;0;0;0;0;0;1;0;0;0;0;18/02/2018;4
